,seeds1,seeds2,moves,player1,player2
42974,26,16,553214131534551654134554334554126615115435635115255345363124634625344561524136522514216145315244516625133451455266153443512544523443546526,5061,2229
44718,28,13,54464261336435425336144556133461211235524251631612512234,5061,3412
44719,8,26,5446426131213324516316631215311223442236213315122455,2229,5061
44724,26,9,54464256352311551423344265,5061,2229
44730,12,26,5446422533354452165521253453425316152614152666,2229,5061
44783,12,26,544625213234455164314254262523254161114361261524315226,5495,5061
44786,15,25,5446251331613635441225516112361514352335243556623153243512332446,5495,5061
44787,14,26,544625133161361446125243412662514526433456,5495,5061
44804,13,26,544625133126154325443245654435431124425544556132445566,5495,5061
44861,18,25,544621352443224111461516133341625341522523326153461554114223446251363514334161512552443556,356,5061
44866,18,26,544621321431524153413562546542615261115544615533265261415533461554154235625144556126,356,5061
44868,11,26,544621124256154335113254116541615132452215342531614161564311236144236116151431652132341365142536541135262314415332261514234416,356,5061
45151,17,27,543632612316641352324611341265532664,8066,5061
45190,40,8,5436322324325311544324325144155442611351445266,5061,2229
45225,39,9,54363213212624331446334422524354314355416445324524354151631524152241553452435465233146,5061,2229
45394,11,34,5436221534232542153145335465546121554354165361451632,8066,5061
45813,29,11,542623321144643324321151224435546315244512543566,5061,2734
45816,30,13,5426233211146151142354352354455435534455222413314324325651665423613253614162536566,5061,2257
45823,28,2,542623264526435465354466453355222534456312411534452334425566,5061,7358
45905,34,4,542622452315432614522544536644523654425153425566,5061,2791
45958,15,26,54262235453321432625324614531614251666,8066,5061
47145,11,28,533642563143215313412334642632521435422664131615142156,6073,5061
47201,12,25,53364152113441332355123553152145665546131566121356355415336352244122154413142621613115142255,6073,5061
47202,14,25,53364152113433446334125222144161245161355463354164516521366554435266,6073,5061
47575,0,31,533624212352261413542233546651346345,7907,5061
54137,10,28,466246232662433163144566121436111544615543156445513453452215621411512255433544625166,5495,5061
54172,12,29,4662341344116151341321554461314415531524321154224365145526,246,5061
54397,15,25,4644364264232151261411355461342326142131526651332432451431456126,5061,3270
54440,10,38,46442642241144643341524426551142324122333524356412334463532462455165415433524453651423314452651421354356,3270,5061
55265,9,30,4624366615124221354423554654152631524351246,1062,5061
55267,9,39,462436661215342113312234553654354651225314554152334425365122136,3270,5061
55272,6,27,4624335413342224533451645334553465512215543326145223344134132233416332514213555342533142531455235445523354455611536,3270,5061
55273,8,30,462433541334222453345164532436351455335445522413514422533625144615665131534455126,2229,5061
55274,26,8,46243354133421465214433556446,5061,2229
55275,9,26,4624335413314652144334455665443546615,2229,5061
55277,25,16,46243354121351161341251426523266453124554334416,5061,1441
55278,25,13,4624335411465514455632566,5061,1765
55280,12,25,4624335311445551325316143542532554423351455415223344556544355243244161354251666,3204,5061
55281,10,32,462432541611134153355461215245326,3270,5061
55282,4,25,4624325411134354322164331426153653432,3270,5061
55284,25,5,4624325345564455316533526523114452152455136243655432416,5061,1402
55285,14,27,4624325213161412425321233116122413442166356634155265415224354315245536645142556,3270,5061
55286,12,26,4624325213161241124634221341342266443564234534455335241531426123344251666,3270,5061
55287,17,26,4624325213124144533452445316665564213262514413116615144152334524453652433425115243342536635124154234255344354651423363512412453443253445615,3270,5061
55288,16,25,46243251115512513265246311322352334465465465114352344325443546625,246,5061
55418,0,31,46233663513326325633246552335425364651142526613,8281,5061
55419,8,25,46233663152142451142234455264333125543523124135244532624356,4936,5061
55442,6,26,462316145442665362265244531554455335544553241251151654122321544152352211563354221145335244253354456,6073,5061
